Model,Type,RMSE_mean,RMSE_std,R2_mean,R2_std,n_valid_mean
Claude FewShot,LLM,0.2883,0.0164,0.9845,0.0018,38.0
SVR (RBF),ML,0.3409,0.0000,0.9784,0.0000,38.0
RSM (2nd order),ML,0.3693,0.0000,0.9747,0.0000,38.0
Gaussian Process,ML,0.4590,0.0000,0.9609,0.0000,38.0
Gemini CoT,LLM,0.5422,0.3164,0.9267,0.0762,37.7
XGBoost,ML,0.6906,0.0000,0.9115,0.0000,38.0
Power Law,ML,1.0326,0.0000,0.8020,0.0000,38.0
GPT FewShot,LLM,1.2386,0.0482,0.7147,0.0225,38.0
GPT CoT,LLM,1.6185,0.0004,0.5137,0.0003,38.0
Gemini FewShot,LLM,2.1142,0.0210,0.1724,0.0228,22.3
Claude CoT,LLM,3.0288,0.5132,-0.6403,0.3493,27.7
